Group,Condition,Subject_i,Subject_j,Window_i,Window_j,Distance,Subject_ij
high,ROE,01,01,0,0,0.0,"('01', '01')"
high,ROE,01,02,0,0,7.301901082507146,"('01', '02')"
high,ROE,01,03,0,0,8.214360156845567,"('01', '03')"
high,ROE,01,04,0,0,7.145455676369881,"('01', '04')"
high,ROE,01,05,0,0,8.71818409721069,"('01', '05')"
high,ROE,01,06,0,0,6.6205794928478605,"('01', '06')"
high,ROE,01,07,0,0,7.824396913955262,"('01', '07')"
high,ROE,01,08,0,0,9.216360069268804,"('01', '08')"
high,ROE,01,09,0,0,7.311628211550814,"('01', '09')"
high,ROE,01,10,0,0,8.345774604427568,"('01', '10')"
high,ROE,01,11,0,0,7.717911109028584,"('01', '11')"
high,ROE,01,13,0,0,9.015478704390318,"('01', '13')"
high,ROE,01,14,0,0,7.914177942069575,"('01', '14')"
high,ROE,01,15,0,0,7.614326790435685,"('01', '15')"
high,ROE,01,16,0,0,9.772834392519945,"('01', '16')"
high,ROE,01,01,1,1,0.0,"('01', '01')"
high,ROE,01,02,1,1,7.253059589737322,"('01', '02')"
high,ROE,01,03,1,1,7.935901632345805,"('01', '03')"
high,ROE,01,04,1,1,8.829422457520138,"('01', '04')"
high,ROE,01,05,1,1,9.805370411907026,"('01', '05')"
high,ROE,01,06,1,1,7.732967333161098,"('01', '06')"
high,ROE,01,07,1,1,9.096849864653494,"('01', '07')"
high,ROE,01,08,1,1,10.23604606355876,"('01', '08')"
high,ROE,01,09,1,1,7.630803378445822,"('01', '09')"
high,ROE,01,10,1,1,10.027407286212044,"('01', '10')"
high,ROE,01,11,1,1,7.663158652373342,"('01', '11')"
high,ROE,01,13,1,1,9.012740791545017,"('01', '13')"
high,ROE,01,14,1,1,8.358624421583743,"('01', '14')"
high,ROE,01,15,1,1,9.382261065134664,"('01', '15')"
high,ROE,01,16,1,1,8.646157858460285,"('01', '16')"
high,ROE,01,01,2,2,0.0,"('01', '01')"
high,ROE,01,02,2,2,6.872214391384481,"('01', '02')"
high,ROE,01,03,2,2,7.75584838344227,"('01', '03')"
high,ROE,01,04,2,2,8.664612836937652,"('01', '04')"
high,ROE,01,05,2,2,8.981517629298564,"('01', '05')"
high,ROE,01,06,2,2,6.651442355276673,"('01', '06')"
high,ROE,01,07,2,2,8.17756699803407,"('01', '07')"
high,ROE,01,08,2,2,9.229397191020476,"('01', '08')"
high,ROE,01,09,2,2,7.848477124013118,"('01', '09')"
high,ROE,01,10,2,2,8.186997279725544,"('01', '10')"
high,ROE,01,11,2,2,7.473352993371026,"('01', '11')"
high,ROE,01,13,2,2,7.989939908777491,"('01', '13')"
high,ROE,01,14,2,2,9.87516314997114,"('01', '14')"
high,ROE,01,15,2,2,8.053682967510454,"('01', '15')"
high,ROE,01,16,2,2,8.527190658124846,"('01', '16')"
high,ROE,01,01,3,3,0.0,"('01', '01')"
high,ROE,01,02,3,3,8.06995779205914,"('01', '02')"
high,ROE,01,03,3,3,6.831273668967314,"('01', '03')"
high,ROE,01,04,3,3,7.433808023651362,"('01', '04')"
high,ROE,01,05,3,3,9.66686124637723,"('01', '05')"
high,ROE,01,06,3,3,6.449392591131047,"('01', '06')"
high,ROE,01,07,3,3,7.031927250551151,"('01', '07')"
high,ROE,01,08,3,3,8.831837487964435,"('01', '08')"
high,ROE,01,09,3,3,6.246793659422373,"('01', '09')"
high,ROE,01,10,3,3,8.196624955585174,"('01', '10')"
high,ROE,01,11,3,3,7.2509134986296235,"('01', '11')"
high,ROE,01,13,3,3,8.093277608501513,"('01', '13')"
high,ROE,01,14,3,3,10.306314863628934,"('01', '14')"
high,ROE,01,15,3,3,8.1546976939098,"('01', '15')"
