Group,Subject,Condition,Data
high,01,ROE,0.035411011961191674
high,01,RCE,0.012345171131173394
high,01,IND1,0.017735379177680644
high,01,IND2,0.02041108799283531
high,01,NH,0.014588987910106543
high,01,POST,-0.001602507461720304
high,02,ROE,-0.0029881630668646686
high,02,RCE,0.03288425595720201
high,02,IND1,0.04084863177859177
high,02,IND2,0.02027660952031285
high,02,NH,0.03315535038230677
high,02,POST,0.044682435286163114
high,03,ROE,0.007029224965451331
high,03,RCE,0.0018437600212003469
high,03,IND1,-0.008147859108970201
high,03,IND2,0.00986218338641598
high,03,NH,-0.0007941453869908521
high,03,POST,0.018376097470100383
high,04,ROE,-0.0010503970830290088
high,04,RCE,0.0015484838555012148
high,04,IND1,0.011109879835595748
high,04,IND2,0.017879478341497612
high,04,NH,0.011622351438123513
high,04,POST,0.005516376638643794
high,05,ROE,0.02731364696827565
high,05,RCE,-0.016221503871816978
high,05,IND1,0.0027133912162025098
high,05,IND2,0.02806617873929329
high,05,NH,-0.05748950836399358
high,05,POST,-0.021918961400494874
high,06,ROE,0.00808094684184979
high,06,RCE,0.007192526416326062
high,06,IND1,0.004478488169051831
high,06,IND2,0.014816428091640743
high,06,NH,0.008686734627572634
high,06,POST,0.02778158936845465
high,07,ROE,0.008506824441087635
high,07,RCE,0.017080891886218863
high,07,IND1,-0.0052741256035852
high,07,IND2,0.007704681582993422
high,07,NH,0.007447650708668485
high,07,POST,0.0013271745536992396
high,08,ROE,0.012127120242881428
high,08,RCE,0.00924490475012929
high,08,IND1,0.002974827723349338
high,08,IND2,-0.005168853538549567
high,08,NH,-0.0019772692257387092
high,08,POST,0.006938220456594535
high,09,ROE,0.08620168464827604
high,09,RCE,0.013466254581332437
high,09,IND1,0.02105711933224086
high,09,IND2,0.017040767507654153
high,09,NH,0.018133905514321702
high,09,POST,0.01101802690035536
high,10,ROE,0.022291154496425603
high,10,RCE,0.03317180667999142
high,10,IND1,0.04902148110931104
high,10,IND2,0.028804736415577792
high,10,NH,0.02370267967043027
high,10,POST,-0.05992917834418621
high,11,ROE,-0.019405601539177253
high,11,RCE,-0.011103333177828745
high,11,IND1,0.02374392995549013
high,11,IND2,0.01922181919611854
high,11,NH,0.01131636487364851
high,11,POST,-0.0004001623190932335
high,13,ROE,0.057194228085408194
high,13,RCE,0.040205886925562595
high,13,IND1,0.04523730983800067
high,13,IND2,0.0801951512404121
high,13,NH,-0.005275637321970228
high,13,POST,0.1417555962685707
high,14,ROE,0.0960596809849601
high,14,RCE,0.08829518287738136
high,14,IND1,-0.03904951726572048
high,14,IND2,0.032611773525124566
high,14,NH,0.04840746072123103
