Group,Condition,Subject,Data
high,ROE,01,0.3623531814644184
high,ROE,02,0.20080346760176926
high,ROE,03,0.1787275595642468
high,ROE,04,0.1843277509573753
high,ROE,05,0.3381072696819081
high,ROE,06,0.20929322355397117
high,ROE,07,0.21031314509845755
high,ROE,08,0.29394267465783475
high,ROE,09,0.16888208815433592
high,ROE,10,0.2826297461720896
high,ROE,11,0.17425584526603866
high,ROE,13,0.23717241376317755
high,ROE,14,0.3958707738028908
high,ROE,15,0.2163406707737735
high,ROE,16,0.17984029383160227
high,RCE,01,0.28769223678240363
high,RCE,02,0.18737722619646857
high,RCE,03,0.16190227963760728
high,RCE,04,0.15492500210734972
high,RCE,05,0.28771645877873075
high,RCE,06,0.1917895976594366
high,RCE,07,0.20705734800832776
high,RCE,08,0.2972088511257729
high,RCE,09,0.20746774094818354
high,RCE,10,0.22315377272031545
high,RCE,11,0.15833376388297205
high,RCE,13,0.20909669022413857
high,RCE,14,0.4638420812424051
high,RCE,15,0.19236223613095826
high,RCE,16,0.2127414798675552
high,IND1,01,0.28899743470341344
high,IND1,02,0.241751041300161
high,IND1,03,0.1620922547798329
high,IND1,04,0.18781320098352727
high,IND1,05,0.20571754299943823
high,IND1,06,0.1765152365264644
high,IND1,07,0.21224864347624783
high,IND1,08,0.3090049088510409
high,IND1,09,0.21579177100974822
high,IND1,10,0.22014676108558173
high,IND1,11,0.1971432537043123
high,IND1,13,0.2533305435628941
high,IND1,14,0.22229480352745312
high,IND1,15,0.20688074922736355
high,IND1,16,0.2057887104546311
high,IND2,01,0.2927805679179316
high,IND2,02,0.20850972991198102
high,IND2,03,0.16676474695554067
high,IND2,04,0.18095109967115985
high,IND2,05,0.39681153335109676
high,IND2,06,0.1887026527106166
high,IND2,07,0.19217559033562848
high,IND2,08,0.22797639766912992
high,IND2,09,0.20551972121939088
high,IND2,10,0.23477872242992848
high,IND2,11,0.21337237538423692
high,IND2,13,0.2462495061294363
high,IND2,14,0.36023846706354967
high,IND2,15,0.19665409795265298
high,IND2,16,0.20265567687762887
high,NH,01,0.30109120090128216
high,NH,02,0.1950594441188176
high,NH,03,0.15260410453909368
high,NH,04,0.1801467634421663
high,NH,05,0.2361954122553941
high,NH,06,0.19518612497815613
high,NH,07,0.20358540048553742
high,NH,08,0.2948507200332656
high,NH,09,0.2173512742001119
high,NH,10,0.23406341441865075
high,NH,11,0.18603112953455536
high,NH,13,0.1576242657753304
high,NH,14,0.34190322905729453
high,NH,15,0.19236470190952049
high,NH,16,0.20632691469110997
high,POST,01,0.3235955608179937
high,POST,02,0.20166639147813492
high,POST,03,0.18578545665734014
high,POST,04,0.17976061293047918
high,POST,05,0.33310920105883135
