,file,group,subject,condition,series,channels,delay_avg,delay_std,delay_min,delay_max,dim_avg,dim_std,dim_min,dim_max
01_0,subject_01.set,high,01,condition 0,"[[ 1.00797758e-05  2.07480860e-06  2.50977022e-09 ...  4.86476946e-06
   3.01998258e-06  5.32653284e-06]
 [ 4.11115360e-06  2.70832825e-06  1.35946786e-06 ...  3.16883612e-06
   1.72237563e-06  3.04465914e-06]
 [ 1.89389241e-06  2.52567363e-06  9.57310438e-07 ...  2.35035968e-06
   1.04578531e-06  1.64332449e-06]
 ...
 [ 3.15794449e-05 -1.54773846e-05 -2.01377087e-05 ...  3.73516178e-06
   2.95717764e-06  8.85910511e-06]
 [ 1.18179064e-05  5.68743467e-06  1.97989616e-05 ... -2.52473903e-06
  -4.84591198e-06 -6.62799120e-06]
 [-7.05479002e-06  6.13950872e-06  5.25674677e-06 ...  2.30510211e-06
   1.04379547e-06  1.84208810e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",23.3125,4.057689459532358,17.0,31.0,6.6875,0.46351240544347894,6.0,7.0
01_1,subject_01.set,high,01,condition 1,"[[ 3.20779204e-06  3.53067219e-07  6.20677042e-06 ...  3.52539515e-06
   9.66293454e-07 -2.84341276e-08]
 [ 1.25088775e-06 -7.88201749e-07  3.65720153e-06 ...  3.35511136e-06
   1.30731297e-06  6.54456168e-08]
 [-7.10152686e-08 -1.02551043e-06  3.06071043e-06 ...  4.73519230e-06
   2.36618590e-06 -8.40331092e-08]
 ...
 [ 9.93225193e-06  1.09061241e-05  1.47749701e-05 ... -9.92679501e-06
  -1.16378460e-05 -1.60141411e-05]
 [-1.51793146e-06 -5.87708044e-06 -1.58730526e-05 ... -1.25699482e-05
  -5.41217327e-06  1.62013836e-05]
 [ 3.54998797e-07 -5.55689692e-07  5.93804312e-06 ...  6.89148521e-06
   4.92495298e-06 -9.06441498e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",15.0625,7.964520936628895,2.0,25.0,7.375,0.9921567416492215,6.0,10.0
01_2,subject_01.set,high,01,condition 2,"[[-4.31851721e-06 -6.90339184e-06 -6.09238243e-06 ... -7.54133415e-06
  -4.14716148e-06 -1.18179214e-06]
 [-4.10398245e-06 -6.28937101e-06 -5.50112963e-06 ... -5.24412870e-06
  -2.69909191e-06  2.29057714e-07]
 [-4.57958937e-06 -6.56569862e-06 -5.68372107e-06 ... -5.58513832e-06
  -2.82078838e-06  3.97511542e-07]
 ...
 [-7.69295120e-06 -4.86276388e-06 -9.20983505e-06 ... -1.15952644e-05
  -8.04865742e-06 -1.93034611e-05]
 [ 3.62404060e-05  4.16374397e-05  3.94810486e-05 ...  1.82562904e-05
   9.74946594e-06  1.62218153e-06]
 [-1.06195850e-05 -1.23928833e-05 -2.61309719e-05 ...  6.71616411e-06
   7.76038027e-06  9.59765688e-08]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",16.5,8.06225774829855,2.0,30.0,6.75,0.5590169943749475,6.0,8.0
01_3,subject_01.set,high,01,condition 3,"[[ 1.05852759e-06  4.30187702e-06  6.29661655e-06 ... -1.20772953e-05
  -1.21009846e-05 -9.63917351e-06]
 [ 2.02324152e-06  4.48302078e-06  6.91197252e-06 ... -8.30014610e-06
  -8.17317104e-06 -6.44397688e-06]
 [ 2.47951031e-06  5.31027985e-06  7.96407270e-06 ... -6.77601767e-06
  -6.50068235e-06 -5.22690868e-06]
 ...
 [-2.01431026e-05 -1.65357342e-05 -2.82892170e-05 ... -1.25598421e-05
  -1.63466091e-05 -1.72986031e-05]
 [-5.36218405e-06 -1.97990589e-05 -3.05882397e-05 ...  1.35302229e-05
   1.41672544e-05  1.30717096e-05]
 [-5.76581812e-06 -6.62781572e-06 -7.37142467e-06 ...  1.85219307e-05
   1.30219994e-05  8.60084248e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",19.75,8.97566153550812,4.0,30.0,6.75,0.5590169943749475,6.0,8.0
01_4,subject_01.set,high,01,condition 4,"[[-4.63768291e-06 -6.67636395e-07  2.87541604e-06 ...  2.58104849e-06
  -1.21055424e-06 -3.88748837e-06]
 [-3.10376525e-06 -5.15081398e-08  3.19855189e-06 ...  1.36849856e-06
  -2.06475639e-06 -3.62705207e-06]
 [-2.52158666e-06  5.05010366e-07  3.51368618e-06 ... -4.32594597e-07
  -4.07059479e-06 -5.16132545e-06]
 ...
 [-1.09348412e-05 -1.14389601e-05 -2.51176662e-05 ...  7.62574673e-06
   1.61052742e-05  1.21955204e-05]
 [ 7.15578222e-06 -1.84354222e-06 -7.53907919e-06 ...  1.80753860e-05
   2.32675095e-05  2.20094776e-05]
 [ 5.05942488e-06 -5.80267347e-08 -1.31363182e-05 ... -4.38446093e-06
   4.87904263e-06  1.26056051e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",18.5,8.116341540373963,3.0,31.0,6.9375,0.6584783595532961,6.0,8.0
01_5,subject_01.set,high,01,condition 5,"[[-2.54035521e-06 -1.57589793e-06  6.87607110e-07 ...  5.38724136e-06
   3.24556065e-06 -4.21631820e-08]
 [-2.56667662e-06 -1.80243492e-06  5.83553612e-07 ...  3.57272291e-06
   2.55743337e-06  3.53565991e-07]
 [-3.42280555e-06 -2.15342832e-06  3.27018827e-07 ...  3.18518233e-06
   2.29683828e-06  3.72715265e-07]
 ...
 [ 1.74299831e-05  2.14904652e-05  9.89249992e-06 ...  1.12388430e-05
  -3.40394050e-07 -6.78758097e-06]
 [ 1.06085892e-05  1.74340093e-06 -4.72642326e-06 ... -4.18425226e-06
  -9.12059367e-07  5.83721995e-07]
 [ 1.68117275e-05  2.06972008e-05  1.21092062e-05 ...  6.01626110e-06
   9.77780819e-07 -2.49678516e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",22.0625,3.8319177639923327,14.0,28.0,7.1875,0.6343057228182637,6.0,8.0
02_0,subject_02.set,high,02,condition 0,"[[-5.63323021e-06 -1.66342545e-05 -1.98550682e-05 ... -3.80625749e-06
  -4.63898420e-06 -4.40334702e-06]
 [-1.19301186e-05 -2.13908691e-05 -2.39449768e-05 ... -4.07229710e-06
  -6.04182816e-06 -6.12371302e-06]
 [ 8.39824617e-07 -4.53927135e-06 -1.15089655e-05 ... -4.72474957e-06
  -6.59820890e-06 -4.63791561e-06]
 ...
 [ 4.90384340e-06  8.12684536e-06  1.51755791e-05 ...  1.24414992e-06
   1.10834098e-06  1.00262439e-06]
 [-1.14752254e-05 -5.90855026e-06  1.77682802e-07 ...  1.11046088e-06
   2.81009030e-06  2.43773699e-06]
 [ 1.16057739e-05  1.24267073e-05  2.33199425e-05 ...  2.88168740e-06
   3.40695500e-06  7.50558674e-07]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",23.3125,7.329041120774258,4.0,31.0,7.25,0.75,6.0,9.0
02_1,subject_02.set,high,02,condition 1,"[[-2.17006135e-06 -3.42595482e-06 -7.60329914e-06 ...  2.33530831e-06
   1.98500073e-06 -4.07217407e-06]
 [-3.56756592e-06 -3.91126561e-06 -5.49591064e-06 ... -4.87432384e-06
  -8.33885098e-06 -1.09550810e-05]
 [-3.97448230e-06 -4.27342844e-06 -1.83291352e-06 ... -6.85045099e-06
  -1.02818995e-05 -9.29243374e-06]
 ...
 [ 4.03123721e-08  4.02129173e-06  7.41587734e-06 ...  1.31545115e-06
   3.77877569e-06  4.30123425e-06]
 [ 4.41808367e-06  8.08572292e-06  7.14868498e-06 ...  2.47217560e-06
   2.97420025e-06  3.47227025e-06]
 [-4.34178919e-07  1.32619929e-06  2.18479085e-06 ...  1.04255142e-05
   1.48943205e-05  9.27141190e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",23.25,7.369701486491838,9.0,31.0,7.5625,0.998044963916957,6.0,10.0
02_2,subject_02.set,high,02,condition 2,"[[-8.28975618e-07  9.23858166e-06  1.06237955e-05 ... -3.26849747e-06
   2.04419088e-06  1.63835204e-06]
 [-8.32890320e-06 -1.26368260e-06  3.03059459e-06 ... -7.05994511e-06
  -1.00918651e-06  3.48062825e-06]
 [-6.01363993e-06 -2.74533772e-06  2.06131363e-06 ... -6.47169828e-06
  -5.93129575e-07  3.91519928e-06]
 ...
 [ 3.70055175e-06  3.32561111e-06  1.16485643e-06 ...  5.99067116e-06
   5.06564736e-07 -3.87099218e-06]
 [ 1.34740019e-06 -2.79228473e-06 -5.68751717e-06 ... -2.97873199e-07
  -6.03656101e-06 -6.13712645e-06]
 [ 2.43786836e-06  1.08481157e-06 -2.34903765e-06 ...  3.87636185e-06
   2.48794913e-06  3.09021711e-07]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",26.1875,3.4318134783230865,19.0,30.0,7.5,0.8660254037844386,6.0,9.0
02_3,subject_02.set,high,02,condition 3,"[[ 1.44043279e-06  4.00672942e-07 -2.42953841e-08 ... -6.28159189e-06
  -4.69608355e-06 -4.66413689e-06]
 [ 5.67138433e-06  2.87204599e-06  3.86919379e-06 ... -6.52259684e-06
  -7.25843334e-06 -8.39252472e-06]
 [ 3.73810577e-06  1.29924345e-06  3.43748069e-06 ... -1.19058399e-05
  -1.32546663e-05 -1.32680140e-05]
 ...
 [-5.84886122e-06 -5.26862049e-06 -5.38677168e-06 ... -5.67094517e-06
  -5.87993431e-06 -5.41276836e-06]
 [-4.15558147e-06 -4.32916355e-06 -4.40102577e-06 ... -3.16477209e-07
   2.81012449e-08 -4.51952487e-07]
 [-1.55053163e-06 -1.32433760e-06 -2.61902308e-06 ... -6.74765396e-06
  -5.29643726e-06 -4.38635921e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']",21.375,4.328322423295196,14.0,29.0,6.875,0.7806247497997998,6.0,9.0
