,file,group,subject,condition,window,series,channels
01_ROE_0,01_ROE_0,high,01,ROE,0,"[[ 1.00797758e-05  4.95575762e-06  8.05645561e-06 ...  9.53412056e-06
   1.26106215e-05  1.16188993e-05]
 [ 4.11115360e-06  2.50814962e-06  4.30926847e-06 ...  8.59269524e-06
   9.68408394e-06  8.92669392e-06]
 [ 1.89389241e-06  7.54862428e-07  3.69387603e-06 ...  8.56891441e-06
   8.64063644e-06  8.85038280e-06]
 ...
 [ 3.15794449e-05  5.87239313e-06  2.41171341e-05 ... -1.21806355e-05
  -2.34753633e-06  4.74419451e-06]
 [ 1.18179064e-05  1.39056559e-05 -1.11473637e-05 ... -1.10189257e-05
   2.29670536e-08 -1.66871357e-05]
 [-7.05479002e-06 -3.46479726e-06 -3.83273745e-06 ... -2.04142785e-06
  -1.12712860e-05 -4.45383310e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_1,01_ROE_1,high,01,ROE,1,"[[ 4.87744761e-06  7.87333393e-06  9.61525249e-06 ... -5.03521252e-06
   4.78367567e-06  1.10692656e-06]
 [ 4.29814959e-06  5.50911283e-06  6.69404697e-06 ... -4.45489407e-06
   3.54263496e-06  6.65651917e-07]
 [ 4.58870697e-06  5.01172352e-06  6.23139954e-06 ... -5.70148087e-06
   2.98961711e-06  2.81733602e-07]
 ...
 [-5.90690660e-06  9.28745747e-06  9.21727753e-06 ...  4.44167423e-06
   5.78433466e-06  1.24437170e-05]
 [-1.41307139e-06 -6.27250135e-07 -3.01699781e-06 ...  3.10416088e-05
   7.22930288e-06  1.86810875e-05]
 [-6.34914780e-06 -1.98776639e-06 -1.09129343e-05 ...  5.48849344e-06
  -7.50488329e-06  8.86099815e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_2,01_ROE_2,high,01,ROE,2,"[[-5.54787731e-06  4.32756424e-06 -3.85514951e-06 ... -1.37390480e-05
  -1.19553280e-05 -1.57932558e-05]
 [-3.60014510e-06  3.55511022e-06 -2.26586819e-06 ... -9.37852573e-06
  -7.44495964e-06 -1.01124315e-05]
 [-3.00725102e-06  2.86833024e-06 -2.22734118e-06 ... -9.25527668e-06
  -5.92892361e-06 -8.24873447e-06]
 ...
 [ 5.93137264e-06  4.61894131e-06 -2.40221858e-06 ... -9.43954563e-06
  -6.12788486e-06 -1.33244228e-05]
 [ 2.23453045e-05  2.07298546e-05  2.30886211e-05 ...  3.67293434e-05
   1.08293848e-05  2.11104393e-05]
 [ 1.45975361e-05 -2.12200910e-07  4.84088087e-06 ...  2.48308792e-05
   2.99217052e-05  2.44957733e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_3,01_ROE_3,high,01,ROE,3,"[[-1.37897100e-05 -1.26241083e-05 -1.15783148e-05 ... -2.93683290e-06
   1.08609724e-06  4.31867272e-07]
 [-9.07797623e-06 -8.26578712e-06 -7.76209402e-06 ... -1.12046039e-06
   1.96053946e-06  1.45638871e-06]
 [-8.19114685e-06 -7.37583923e-06 -7.26899290e-06 ... -4.69395369e-07
   2.35712290e-06  1.66133523e-06]
 ...
 [-1.31344357e-05 -7.49187326e-06 -1.37976418e-05 ...  1.57212764e-07
  -6.05324507e-07 -1.47673452e-06]
 [ 1.98080635e-05  1.50344582e-05  3.50953102e-05 ...  1.49421334e-06
  -2.70707154e-06 -3.59082055e-06]
 [ 2.09255543e-05  3.09669628e-05  2.59107614e-06 ...  2.05519524e-05
   1.64229221e-05  1.74422760e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_4,01_ROE_4,high,01,ROE,4,"[[ 1.19449389e-06  1.22439003e-06  6.51548195e-06 ... -1.15824628e-06
   5.18098307e-06 -4.08472252e-06]
 [ 2.26446176e-06  1.35101628e-06  5.93432283e-06 ...  9.28513885e-07
   5.60641193e-06 -1.37666798e-06]
 [ 3.11011195e-06  1.15987623e-06  5.06558132e-06 ...  1.27783632e-06
   5.40978384e-06  7.17358768e-07]
 ...
 [-2.89652729e-06  1.38889289e-06 -6.29252148e-06 ... -9.15105438e-06
  -1.68599072e-05 -7.68729973e-06]
 [-9.49082947e-06 -1.83228409e-06 -1.32864962e-05 ...  1.44576893e-05
   1.96747708e-06  2.51826859e-06]
 [ 8.16737556e-06  7.48167324e-06  4.21885681e-06 ...  3.63836060e-05
   7.25804996e-06  1.69933662e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_5,01_ROE_5,high,01,ROE,5,"[[ 4.64858246e-06  4.46931410e-06  2.25675440e-06 ...  3.51264626e-07
  -1.21367097e-06  2.70606899e-06]
 [ 5.07237530e-06  4.08145952e-06  1.84132552e-06 ...  2.68761903e-07
  -1.64241850e-06  1.50856221e-06]
 [ 5.74548674e-06  4.57291269e-06  1.98665690e-06 ...  3.58522922e-07
  -2.49939895e-06  4.36070412e-07]
 ...
 [-1.15942173e-05  1.95594597e-06  4.97712183e-06 ...  8.80455017e-06
   1.04492025e-05  1.32221479e-05]
 [-9.37586403e-06 -8.85029888e-06 -4.31665897e-06 ...  3.57812190e-06
   1.97227592e-05  1.94488788e-06]
 [ 2.42452645e-06  1.35537081e-05  1.22617216e-05 ...  8.99498653e-06
   1.17760444e-06  1.17438288e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_6,01_ROE_6,high,01,ROE,6,"[[ 6.33045006e-06  3.31516743e-07  4.81917095e-06 ...  4.80806160e-06
   8.00498104e-06  6.40156364e-06]
 [ 4.63011837e-06  4.21106428e-07  3.90274811e-06 ...  3.16243529e-06
   5.08076715e-06  4.06011534e-06]
 [ 2.90685940e-06 -5.08624017e-07  2.38270545e-06 ...  3.06257033e-06
   3.77148700e-06  3.92903519e-06]
 ...
 [ 5.85848379e-06  1.01052654e-06  9.23721790e-07 ...  7.96372461e-06
   1.47545633e-05  1.28491974e-05]
 [ 7.83949566e-06  1.62719727e-05  1.16692591e-05 ... -1.35686312e-05
  -7.07188320e-06 -7.75155020e-06]
 [ 4.45467234e-06  2.93175197e-06  4.10976028e-06 ... -4.77982807e-06
   3.58002615e-06 -1.25975800e-05]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_7,01_ROE_7,high,01,ROE,7,"[[ 7.62368298e-06  7.74731064e-06  5.72746372e-06 ... -2.26488256e-06
  -5.05011320e-06 -8.36421108e-06]
 [ 4.91125774e-06  5.09923553e-06  3.89460301e-06 ... -2.09491277e-06
  -4.73250437e-06 -7.68206310e-06]
 [ 4.10013962e-06  4.70817471e-06  3.78436494e-06 ...  6.59764707e-07
  -3.28768516e-06 -5.88304138e-06]
 ...
 [ 1.47759008e-05  1.56143103e-05  1.19068403e-05 ...  8.42049122e-06
   3.97638083e-06  1.17951517e-05]
 [-1.00815372e-05 -8.66450787e-06 -1.41983824e-05 ... -9.93203163e-06
   3.80085135e-06  4.86551952e-06]
 [-3.28817415e-06 -1.70548785e-06 -1.82508790e-06 ... -3.10421371e-06
  -6.25192690e-06 -1.86429536e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_8,01_ROE_8,high,01,ROE,8,"[[-4.14161158e-06 -4.56367588e-06 -5.93400383e-06 ...  8.35531831e-07
   1.28597012e-05 -1.94369531e-06]
 [-4.01245403e-06 -4.95456791e-06 -5.04356527e-06 ... -1.35779709e-07
   1.01025867e-05 -1.13777971e-06]
 [-2.32746959e-06 -3.80992579e-06 -3.45863461e-06 ... -1.03985190e-06
   8.35557270e-06 -9.29379761e-07]
 ...
 [ 2.69931817e-06  1.51785622e-05  2.13517427e-06 ...  2.56992412e-06
  -6.30556679e-06 -4.48371649e-06]
 [-3.44965935e-06  5.94608927e-06  7.30342245e-06 ...  1.06104956e-05
  -1.43280773e-05  6.32707071e-06]
 [-1.99318695e-05 -2.59436297e-06 -2.50945568e-06 ... -1.38512602e-05
  -3.52412486e-06  4.25739813e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
01_ROE_9,01_ROE_9,high,01,ROE,9,"[[ 5.12757349e-06  4.65545845e-06  5.98845482e-06 ...  5.54526210e-07
  -9.48946536e-07 -4.90447235e-06]
 [ 3.39927411e-06  3.89897466e-06  3.77827382e-06 ... -3.85503843e-08
  -1.03215075e-06 -4.66363287e-06]
 [ 2.22740817e-06  4.34372950e-06  2.21933150e-06 ...  8.77165020e-07
   7.86089361e-07 -4.65078354e-06]
 ...
 [ 3.31840086e-06  9.92108107e-07  1.66348112e-06 ...  1.60395813e-05
   1.76216278e-05  1.70925331e-05]
 [-1.45320845e-06 -1.63122101e-05  4.29136848e-06 ...  2.73195934e-06
  -5.38415718e-06  1.88661747e-05]
 [-1.25851660e-05  6.25160933e-06 -1.86303749e-05 ...  1.92749667e-06
  -7.17198014e-07  7.45375538e-06]]","['F7', 'F3', 'FZ', 'F4', 'F8', 'C3', 'C4', 'T7', 'CZ', 'T8', 'P3', 'PZ', 'P4', 'OZ', 'PO3', 'PO4']"
